"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"JUL","2021-07-16",5.5,10.7,4.2,NA,NA,"NNW",59,"22:30",8.9,97,8,"NNW","26",996.2,6.9,94,8,"NW","28",995
"JUL","2021-07-17",4,8.9,8.2,NA,NA,"WNW",54,"00:17",5.5,82,8,"NW","26",996.9,7,69,8,"NW","30",999.1
"JUL","2021-07-18",3.5,12.6,0.4,NA,NA,"WNW",44,"13:57",8.6,77,NA,"N","20",1013.6,11.3,54,NA,"WNW","31",1014.2
"JUL","2021-07-19",-1,8.3,0.2,NA,NA,"NW",33,"00:00",2.8,99,8,"SSE","9",1019.7,7.9,77,8,"NNW","22",1014.7
"JUL","2021-07-20",2.4,9.5,0.2,NA,NA,"NW",54,"12:36",5.5,94,8,"N","22",1011.6,7.7,86,8,"NNW","30",1005.6
"JUL","2021-07-21",-1.7,10.8,2.8,NA,NA,"SSE",37,"07:10",5.2,65,NA,"SSW","20",1016.8,10.4,41,NA,"SSE","15",1017.1
"JUL","2021-07-22",-6,11.3,0.2,NA,NA,"N",22,"15:41",0,95,NA,NA,"Calm",1020.1,9.6,54,1,"W","11",1014.3
"JUL","2021-07-23",-0.5,8.2,0.2,NA,NA,"E",13,"04:41",4,96,8,"SSE","9",1009.8,6,99,8,"SE","9",1006.1
"JUL","2021-07-24",3.9,10.3,5,NA,NA,"NNW",72,"20:59",8.2,88,5,"NW","24",1003.4,8.7,60,8,"WNW","24",1002.8
"JUL","2021-07-25",1.8,8.8,10.2,NA,NA,"NW",61,"05:31",3.4,87,8,"NW","30",1005.7,5.8,68,8,"NW","26",1009.6
"JUL","2021-07-26",3.4,13.2,2.8,NA,NA,"NW",48,"05:27",8.2,82,7,"N","19",1016.4,11.4,67,7,"WNW","30",1015.9
"JUL","2021-07-27",7.4,15.8,0,NA,NA,"NW",46,"11:49",10.2,78,1,"NNW","22",1018.9,14,51,1,"NNW","33",1015.6
"JUL","2021-07-28",2.4,12.4,0,NA,NA,"NW",59,"09:10",10.7,63,8,"NW","39",1009.3,9.3,96,8,"NW","20",1005.2
"JUL","2021-07-29",2.8,13.3,4.8,NA,NA,"NW",37,"05:06",6.8,62,NA,"WNW","22",1014.9,12.5,42,NA,"NW","26",1015.6
"JUL","2021-07-30",-5,12.9,0,NA,NA,"NNW",33,"14:53",0.3,91,2,"ENE","4",1022.6,11.9,35,NA,"NNW","22",1018.1
"JUL","2021-07-31",-0.3,15.9,0,NA,NA,"WNW",33,"13:41",6.3,80,6,"SSW","9",1015.5,14.2,53,8,"NNW","15",1009.7
"AUG","2021-08-1",2.5,13.6,0.2,NA,NA,"NNW",37,"12:25",8.5,100,8,"SSE","9",1009.1,12.8,67,8,"NW","19",1009.9
"AUG","2021-08-2",-1.8,14.5,0.6,NA,NA,"NE",35,"20:26",0.6,99,8,NA,"Calm",1022,13.8,48,NA,"NNE","17",1016.4
"AUG","2021-08-3",0.6,11.3,9,NA,NA,"NNW",52,"09:54",8,87,8,"NNW","31",1010.2,9.3,66,8,"WNW","30",1009.2
"AUG","2021-08-4",3.2,10.3,3.6,NA,NA,"WNW",54,"12:24",5.9,75,1,"NW","30",1012.8,9.6,56,8,"WNW","28",1014.2
"AUG","2021-08-5",5.8,14.1,0,NA,NA,"NW",44,"00:10",10.2,66,NA,"NW","22",1018.6,12.7,56,NA,"WNW","31",1017.8
"AUG","2021-08-6",4.7,15.8,0,NA,NA,"N",39,"15:43",9.6,63,NA,"WNW","6",1023.7,14.4,55,NA,"N","30",1021.4
"AUG","2021-08-7",-3.4,14.5,0,NA,NA,"NW",41,"14:55",3.4,94,NA,NA,"Calm",1027,12.6,53,NA,"NW","31",1023.7
"AUG","2021-08-8",-2,11.4,0,NA,NA,"ESE",26,"11:48",6.3,89,8,NA,"Calm",1033.8,10.9,60,8,"ENE","13",1031.7
"AUG","2021-08-9",2.3,15.9,0,NA,NA,"NNW",30,"15:33",6.7,89,5,NA,"Calm",1031.5,14.9,50,4,"NW","15",1026.5
"AUG","2021-08-10",-1.2,16.3,0,NA,NA,"NNW",56,"14:45",6,96,NA,NA,"Calm",1028.1,15.4,42,NA,"WNW","30",1024.5
"AUG","2021-08-11",0.5,18.5,0,NA,NA,"WNW",72,"22:05",12.4,72,NA,"NW","31",1024.3,18,62,8,"NNW","33",1019.2
"AUG","2021-08-12",4.1,14.6,4.8,NA,NA,"NNW",39,"13:26",8.7,61,NA,"NNW","13",1026.3,13.4,51,NA,"N","28",1025.2
"AUG","2021-08-13",-2.9,15.7,0,NA,NA,"NW",31,"16:30",1.2,99,6,"E","7",1029.5,15,45,NA,"NW","15",1025.7
"AUG","2021-08-14",-3.7,15.4,0.2,NA,NA,"WNW",26,"13:08",4.1,81,1,"SW","6",1030.8,14.5,39,NA,"NW","17",1026.5
"AUG","2021-08-15",-3.4,15.8,0,NA,NA,"WNW",48,"14:44",1.3,99,8,"SSW","2",1027.3,12.8,45,NA,"WNW","28",1023.1
"AUG","2021-08-16",1.1,12,0,NA,NA,"NW",61,"11:45",9.6,65,NA,"NNW","28",1021.6,10.8,66,NA,"NNW",NA,1020.4
"AUG","2021-08-17",1.9,14.2,0,NA,NA,"WNW",31,"03:19",7.2,76,NA,"N","13",1023.2,13.4,47,NA,"NW","17",1021
"AUG","2021-08-18",-4.9,14.9,0,NA,NA,"NW",35,"13:43",4,88,NA,"NNW","2",1027.2,14.5,51,NA,"NNW","20",1023.2
"AUG","2021-08-19",-3.3,16.3,0,NA,NA,"N",37,"14:44",3.1,99,NA,NA,"Calm",1025.3,14.8,52,8,"NNW","28",1021.8
"AUG","2021-08-20",-1.2,17.1,0,NA,NA,"NNW",44,"13:09",5.7,91,NA,NA,"Calm",1022.2,16.1,42,4,"WNW","24",1018.9
"AUG","2021-08-21",5.4,18.6,0,NA,NA,"NW",48,"06:15",12.7,69,NA,"NNW","15",1019.5,17.6,47,7,"NW","28",1018
"AUG","2021-08-22",0.3,19.9,0,NA,NA,"NW",48,"15:31",8.5,87,NA,NA,"Calm",1022.1,19.8,41,NA,"NW","30",1017
"AUG","2021-08-23",3.9,20.8,0,NA,NA,"NW",70,"11:04",16.8,59,NA,"NNW","37",1012.6,14.8,74,8,"NNW",NA,1010
"AUG","2021-08-24",3.8,9.3,22.2,NA,NA,"SSW",70,"14:24",5.2,90,8,"S","15",1012.4,8.7,69,8,"SSW","39",1009.7
"AUG","2021-08-25",4.9,13.2,0,NA,NA,"SW",52,"00:40",8,65,7,"S","24",1014.9,11.7,60,8,"SSE","19",1014.2
"AUG","2021-08-26",-1.9,14.4,0.2,NA,NA,"S",37,"09:26",7.8,73,NA,"SSW","7",1019.8,13,50,7,"SSE","17",1017.4
"AUG","2021-08-27",5.8,12.3,0,NA,NA,"NW",26,"13:21",8.8,73,8,"W","7",1018.6,10.3,71,8,"SSW","15",1016.1
"AUG","2021-08-28",4.8,15.2,2.2,NA,NA,"NW",31,"14:01",7.3,92,8,"N","2",1019.2,14,58,2,"NW","15",1016.8
"AUG","2021-08-29",0,9.6,0.8,NA,NA,"NW",37,"13:33",6.5,88,4,"N","2",1015.6,7.4,90,8,"E","11",1012.2
"AUG","2021-08-30",-0.3,13.3,3.2,NA,NA,"NNW",35,"15:02",4,100,8,"ENE","2",1020,12.7,62,6,"NNW","26",1017.8
"AUG","2021-08-31",-2.1,17,0.2,NA,NA,"NNW",41,"14:36",6.9,84,NA,NA,"Calm",1023.7,15.3,47,8,"NW","26",1021.6
"SEP","2021-09-1",3,22.7,0,NA,NA,"N",22,"15:44",10,73,6,"SSW","6",1030.2,22.3,29,NA,"N","11",1027.3
"SEP","2021-09-2",0,22.7,0,NA,NA,"N",33,"14:28",12,64,NA,"SSW","4",1030.2,21.3,44,1,"N","20",1024.2
"SEP","2021-09-3",4.8,21.5,0,NA,NA,"NW",43,"10:24",14.7,86,NA,"ESE","4",1025.9,20.7,55,8,"NNW","26",1020.1
"SEP","2021-09-4",7.5,12.8,5,NA,NA,"N",41,"08:48",12.2,99,8,"NNW","24",1019.6,12.2,100,8,"N","11",1015.3
"SEP","2021-09-5",6.1,11.2,39.4,NA,NA,"NNW",41,"09:57",8.3,78,6,"NNW","28",1014.7,8,88,8,"NW","11",1015.9
"SEP","2021-09-6",2.4,15.8,5,NA,NA,"S",46,"10:45",8.7,64,NA,"NNW","6",1025.8,15.4,26,NA,"S","24",1026
"SEP","2021-09-7",-3,18.8,0,NA,NA,"WNW",48,"14:15",10,63,1,"N","30",1026.9,17.5,40,NA,"WNW","30",1024.6
"SEP","2021-09-8",0.4,16.6,0,NA,NA,"NNW",37,"16:35",4.8,100,8,NA,"Calm",1032.8,16.1,53,NA,"NNW","20",1028.1
"SEP","2021-09-9",-0.4,19.9,0,NA,NA,"WNW",61,"17:48",11.1,76,NA,"NNW","22",1028.5,18.9,37,NA,"WNW","28",1022.9
"SEP","2021-09-10",9.1,21.1,0,NA,NA,NA,NA,NA,15.5,50,NA,"N","20",1022.5,20.3,39,1,"NW","33",1020.6
"SEP","2021-09-11",2.6,22.5,0,NA,NA,"NW",56,"10:01",15.5,48,NA,"NW","28",1017.6,21.8,27,NA,"NW","37",1011.9
"SEP","2021-09-12",10.2,NA,0,NA,NA,NA,NA,NA,15.2,51,NA,"NW","22",1006.1,13.4,57,8,"NW","30",1006.4
